Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",51.9%,Easy,50,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
994,Rotting Oranges,Breadth-first Search,49.7%,Medium,100,https://leetcode.com/problems/rotting-oranges
